品詞,単語,意味,律
代名詞,ate,私（主語定義語）,中央正純律
代名詞,atei,私たち（主語定義語）,中央正純律
代名詞,aya,君（主語定義語）,中央正純律
代名詞,ayai,君たち（主語定義語）,中央正純律
代名詞,ayo,彼・彼女（主語定義語）,中央正純律
代名詞,ayoi,彼ら・彼女ら（主語定義語）,中央正純律
代名詞,ale,これ（主語定義語）,中央正純律
代名詞,alei,これら（主語定義語）,中央正純律
代名詞,ala,それ（主語定義語）,中央正純律
代名詞,alai,それら（主語定義語）,中央正純律
代名詞,alo,あれ（主語定義語）,中央正純律
代名詞,aloi,あれら（主語定義語）,中央正純律
代名詞,te,私,中央正純律
代名詞,tei,私たち,中央正純律
代名詞,ya,君,中央正純律
代名詞,yai,君たち,中央正純律
代名詞,yo,彼・彼女,中央正純律
代名詞,yoi,彼ら・彼女ら,中央正純律
代名詞,le,これ,中央正純律
代名詞,lei,これら,中央正純律
代名詞,la,それ,中央正純律
代名詞,lai,それら,中央正純律
代名詞,lo,あれ,中央正純律
代名詞,loi,あれら,中央正純律
前置詞,al,～を,中央正純律
前置詞,ax,～の,中央正純律
前置詞,fal,～に,中央正純律
前置詞,lex,～から,中央正純律
助動詞,ja,～される（受動態）,中央正純律
接続詞,bas,もし～ならば,中央正純律
接続詞,kaca,～までずっと,中央正純律
接続詞,i,そして,中央正純律
接続詞,u,しかし,中央正純律
助動詞,nac,～した（過去の表現）,中央正純律
助動詞,cas,～するだろう（未来の表現）,中央正純律
助動詞,fis,～かもしれない（推量）,中央正純律
助動詞,cel,～できる（可能）,中央正純律
助動詞,sis,～しなければならない（義務）,中央正純律
前置詞,wal,～において,中央正純律
前置詞,ce,～するまで,中央正純律
前置詞,lex,～によって,中央正純律
前置詞,lef,～から,中央正純律
その他,wes,想音の継承マーカー,中央正純律
その他,wec,想音の変更マーカー,中央正純律
語想音,am,強い・凄い,中央正純律
語想音,im,好き・素晴らしい・愛しい,中央正純律
語想音,um,嫌い・憎い・疎ましい,中央正純律
語想音,em,楽しい・嬉しい,中央正純律
語想音,om,辛い・悲しい,中央正純律
